ID,site,year,sl,body_depth,ap_length,ap_width,Jaw_length,ppl,ppw,dorsal_1,dorsal_2,pelvic_spine,sex,lp_no,rp_no
HG220509,outlet,2022,36.84,8.64,4.47,0.62,2.27,4.29,1.24,2.13,2.68,3.15,F,0,1
HG220510,outlet,2022,39.21,9.51,4.55,0.92,2.85,5.62,1.54,2.82,3.42,4.3,M,0,0
HG220511,outlet,2022,37.13,8.85,4.77,0.58,2.91,5.07,1.37,NA,2.86,3.9,M,0,1
HG220512,outlet,2022,36.29,8.65,4.36,0.78,2.54,4.88,1.24,2.1,3.17,3.9,F,0,0
HG220513,outlet,2022,38.98,9.24,4.94,0.61,2.56,4.52,1.59,2.2,2.96,4.41,F,0,0
HG220514,outlet,2022,38.25,9.08,5.53,0.94,2.88,5.13,1.48,2.69,2.72,4.01,M,1,2
HG220515,outlet,2022,35.8,8.3,4.13,0.78,2.26,4.49,1.25,1.78,3.27,3.7,F,0,0
HG220516,outlet,2022,33.97,8.03,4.38,0.93,2.13,4.01,1.14,2.36,2.63,3.13,F,0,0
HG220517,outlet,2022,35.45,8.52,4.91,0.84,2.92,4.9,1.38,NA,2.62,3.72,F,0,0
HG220518,outlet,2022,71.92,15.48,9.33,2,5.2,11.18,4.91,3.34,4.36,5.75,F,0,0
HG220519,outlet,2022,52.3,12.55,6.56,1.58,3.74,7.5,3.14,4.02,5.15,5.5,F,2,2
HG220520,outlet,2022,58.22,15.78,6.74,1.68,4.37,8.84,3.98,3.34,3.64,4.84,F,0,0
HG220521,outlet,2022,51.27,12.2,6.82,2.01,3.39,8.6,2.42,3.77,4.37,4.83,F,0,0
HG220522,outlet,2022,49.88,12.05,6.19,1.49,3.59,6.1,2.33,3.27,3.79,4.42,M,1,0
HG220523,outlet,2022,36.7,8.3,4.39,0.72,2.16,5.85,1.43,NA,3.41,4.23,F,1,0
HG220524,outlet,2022,36.17,8.2,4.19,0.88,2.46,5.07,1.39,1.51,3.42,4.38,F,0,0
HG220525,outlet,2022,37.02,9.12,4.27,0.8,2.28,5.91,1.38,NA,3.35,4.01,F,0,0
HG220526,outlet,2022,36.87,8.53,4.02,0.82,2.93,5.43,1.48,2.13,2.89,4.21,M,0,1
HG220527,outlet,2022,36.51,8.46,4.45,0.85,2.56,5.15,1.51,2,2.81,3.6,M,0,0
